country,numeric,population
Guam,316,169000
Curaçao,531,164000
Kiribati,296,119000
Micronesia (Fed. States of),583,115000
Grenada,308,113000
Saint Vincent and the Grenadines,670,111000
Aruba,533,107000
Tonga,776,106000
United States Virgin Islands,850,104000
Seychelles,690,98000
Antigua and Barbuda,28,98000
Isle of Man,833,85000
Andorra,20,77000
Dominica,212,72000
Cayman Islands,136,66000
Bermuda,60,62000
Marshall Islands,584,59000
Northern Mariana Islands,580,58000
Greenland,304,57000
American Samoa,16,55000
Saint Kitts and Nevis,659,53000
Faroe Islands,234,49000
Sint Maarten (Dutch part),534,43000
Saint Martin (French part),663,39000
Turks and Caicos Islands,796,39000
Monaco,492,39000
Liechtenstein,438,38000
Gibraltar,292,34000
San Marino,674,34000
British Virgin Islands,92,30000
"Bonaire, Sint Eustatius and Saba",535,26000
Palau,585,18000
Cook Islands,184,18000
Anguilla,660,15000
Tuvalu,798,12000
Nauru,520,11000
Wallis and Futuna Islands,876,11000
Saint Barthélemy,652,10000
Saint Helena,654,6000
Saint Pierre and Miquelon,666,6000
Montserrat,500,5000
Falkland Islands (Malvinas),238,3000
Niue,570,2000
Tokelau,772,1000
Holy See,336,1000
